sentence	pictos_ref_ids	sense_keys
abel tremble un peu en versant l'eau car l'arrosoir n'est vraiment pas léger	[[2485], [5981], [2627], [5546], [11709], [27746], [8476], [2248], [11348], [8476], [2817], [], [5465], [], [6526], [4679]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['mix%2:30:01::', 'stir%2:38:01::', 'mix_in%2:30:01::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00'], [], ['pour_out%2:38:00::', 'pour%2:38:04::', 'decant%2:38:00::'], [], ['water%1:27:00::', 'h2o%1:27:00::', 'water%1:13:00::'], [], [], ['watering_can%1:06:00::', 'watering_pot%1:06:00::'], [], ['be%2:42:05::'], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['light%3:00:01::']]
tu penses que j'en ai mis suffisamment demande t il	[[2608], [8661], [10276], [2617], [11709], [7271], [6989], [5584], [9847], [], [6480]]	[[], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], ['yes%1:10:00::'], ['inquire%2:32:01::', 'enquire%2:32:00::', 'query%2:32:00::', 'ask%2:32:04::', 'question%2:32:00::'], [], []]
tu peux encore en verser un petit peu suggère bellina	[[2608], [11750], [], [11709], [27746], [2627], [4716], [5546], [5973], [2484]]	[[], [], [], [], ['pour_out%2:38:00::', 'pour%2:38:04::', 'decant%2:38:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['diminutive%5:00:00:small:00', 'little%3:00:01::', 'littler%5:00:00:small:00', 'bantam%5:00:00:small:00', 'midget%5:00:00:small:00', 'lilliputian%5:00:00:small:00', 'small%3:00:00::', 'petite%5:00:00:small:00', 'smaller%5:00:00:small:00', 'tiny%5:00:00:small:00', 'flyspeck%5:00:00:small:00'], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
la fleur ne veut pas pousser tu penses que je ne lui ai pas donné assez d'eau bellina se demande abel	[[8476], [3102], [], [2418], [6526], [5430], [2608], [8661], [10276], [2617], [], [], [7271], [6526], [17038], [5521], [], [2248], [2484], [], [9847], [2485]]	[[], ['flower%1:20:02::', 'blossom%1:20:00::', 'bloom%1:20:00::'], [], ['like%2:37:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['swing%2:38:03::', 'swing%2:38:00::', 'sway%2:38:01::'], [], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], [], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['pass_on%2:40:01::', 'give%2:40:06::', 'hand%2:40:00::', 'give%2:40:00::', 'offer%2:40:00::', 'pass%2:40:00::', 'reach%2:40:00::', 'proffer%2:40:00::', 'turn_over%2:40:00::'], ['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], [], ['water%1:27:00::', 'h2o%1:27:00::', 'water%1:13:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], [], ['inquire%2:32:01::', 'enquire%2:32:00::', 'query%2:32:00::', 'ask%2:32:04::', 'question%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
il faut être patient abel lui répond bellina	[[], [15523], [], [8109], [2485], [], [], [2484]]	[[], ['obligation%1:04:00::', 'responsibility%1:04:00::', 'duty%1:04:00::'], [], ['wait%2:42:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
il faut beaucoup de temps de lumière de chaleur et d'eau pour qu'une fleur pousse	[[], [], [5521], [7074], [22631], [7074], [8619], [7074], [2300], [11399], [7074], [2248], [7194], [10276], [2627], [3102], [5430]]	[[], [], ['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], [], ['time%1:28:05::', 'time%1:03:00::'], [], ['luminosity%1:07:00::', 'brightness_level%1:07:00::', 'light%1:26:00::', 'lighting%1:26:00::', 'luminance%1:07:00::', 'luminousness%1:07:00::', 'light%1:07:01::', 'brightness%1:07:02::'], [], ['hot%3:00:01::'], [], [], ['water%1:27:00::', 'h2o%1:27:00::', 'water%1:13:00::'], [], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['flower%1:20:02::', 'blossom%1:20:00::', 'bloom%1:20:00::'], ['swing%2:38:03::', 'swing%2:38:00::', 'sway%2:38:01::']]
alors je ne la verrai pas aujourd'hui regrette abel	[[], [2617], [], [8476], [2474], [6526], [7131], [7131], [5973], [2485]]	[[], [], [], [], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['today%4:02:00::'], ['today%4:02:00::'],['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
non mais tu verras le temps passe vite répond bellina	[[5525], [11377], [2608], [2474], [8476], [22631], [2432], [5306], [9030], [2484]]	[['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], [], [], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], [], ['time%1:28:05::', 'time%1:03:00::'], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['apace%4:02:00::', 'chop-chop%4:02:00::', 'fleet%5:00:00:fast:01', 'quick%4:02:00::', 'fast%3:00:01::', 'rapidly%4:02:00::', 'swift%5:00:00:fast:01', 'agile%5:00:00:active:01', 'speedily%4:02:00::', 'quick%5:00:00:active:01', 'quickly%4:02:02::', 'promptly%4:02:02::', 'spry%5:00:00:active:01', 'nimble%5:00:00:active:01', 'quick%5:00:00:fast:01', 'quickly%4:02:00::', 'speedy%5:00:03:fast:01', 'in_short_order%4:02:00::'], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
ramassons le sachet et va te changer tu vas prendre froid	[[15469], [8476], [2284], [11399], [2432], [], [8053], [2608], [2432], [7271], [4652]]	[['snap%2:35:00::', 'snatch%2:35:00::', 'snatch_up%2:35:00::', 'take%2:40:01::', 'snap_up%2:40:00::', 'snaffle%2:40:00::', 'grab%2:40:00::'], [], ['handbag%1:06:00::', 'purse%1:06:00::', 'bag%1:06:02::', 'pocketbook%1:06:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['change%2:40:00::', 'interchange%2:40:00::', 'exchange%2:40:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['cold%3:00:01::']]
abel et bellina courent partout dans la maison et dans le jardin	[[2485], [11399], [2484], [2719], [], [7034], [7029], [2317], [11399], [7034], [8476], [2434]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['run%2:38:05::', 'run%2:38:00::'], [], [], [], ['menage%1:14:00::', 'household%1:14:00::', 'house%1:14:05::', 'family%1:14:02::', 'home%1:14:00::', 'house%1:06:00::'], [], [], [], ['garden%1:06:00::', 'garden%1:06:01::']]
tu ne m'attraperas pas crie bellina	[[2608], [], [], [8187], [6526], [4686], [2484]]	[[], [], [], ['trammel%2:35:00::', 'catch_up_with%2:33:00::', 'overtake%2:33:00::', 'snare%2:35:00::', 'catch%2:33:10::', 'entrap%2:35:00::', 'trap%2:35:00::', 'ensnare%2:35:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['cry%2:32:01::', 'scream%2:32:01::', 'yell%2:32:01::', 'call%2:32:09::', 'holler%2:32:05::', 'shout%2:32:01::', 'squall%2:32:00::', 'shout_out%2:32:00::', 'hollo%2:32:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
je suis le loup et je vais te manger lui répond abel	[[2617], [5465], [8476], [5892], [11399], [2617], [2432], [2608], [2349], [], [9030], [2485]]	[[], ['be%2:42:05::'], [], ['wolf%1:05:00::'], [], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['take_in%2:34:00::', 'eat%2:34:00::', 'ingest%2:34:00::', 'have%2:34:00::', 'consume%2:34:00::', 'take%2:34:00::'], [], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
pour cela il faudra courir plus vite monsieur le loup s'esclaffe bellina	[[7194], [6906], [], [15523], [2719], [3220], [5306], [4744], [8476], [5892], [], [13354], [2484]]	[[], [], [], ['obligation%1:04:00::', 'responsibility%1:04:00::', 'duty%1:04:00::'], ['run%2:38:05::', 'run%2:38:00::'], ['sign%1:10:04::', 'plus_sign%1:10:00::'], ['apace%4:02:00::', 'chop-chop%4:02:00::', 'fleet%5:00:00:fast:01', 'quick%4:02:00::', 'fast%3:00:01::', 'rapidly%4:02:00::', 'swift%5:00:00:fast:01', 'agile%5:00:00:active:01', 'speedily%4:02:00::', 'quick%5:00:00:active:01', 'quickly%4:02:02::', 'promptly%4:02:02::', 'spry%5:00:00:active:01', 'nimble%5:00:00:active:01', 'quick%5:00:00:fast:01', 'quickly%4:02:00::', 'speedy%5:00:03:fast:01', 'in_short_order%4:02:00::'], ['sir%1:18:00::', 'silhouette%1:06:00::', 'man%1:18:00::', 'adult_male%1:18:00::'], [], ['wolf%1:05:00::'], [], ['laugh%2:29:00::', 'laugh%1:10:02::', 'smile%2:29:00::', 'express_joy%2:29:00::', 'grin%1:10:00::', 'smiling%1:10:00::', 'express_mirth%2:29:00::', 'grinning%1:10:00::', 'smile%1:10:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
grrr attends voir dit abel	[[], [8109], [2474], [5973], [2485]]	[[], ['wait%2:42:00::'], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
et ils courent de plus belle	[[11399], [7032], [2719], [], [3220], []]	[[], [], ['run%2:38:05::', 'run%2:38:00::'], [], ['sign%1:10:04::', 'plus_sign%1:10:00::'], []]
abel n'est toujours pas parvenu à attraper bellina	[[2485], [], [5465], [17322], [6526], [21379], [7041], [8187], [2484]]	"[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['be%2:42:05::'], ['incessantly%4:02:00::', 'always%4:02:00::', 'forever%4:02:03::', 'constantly%4:02:01::', 'always%4:02:03::', ""e'er%4:02:00::"", 'always%4:02:02::', 'ever%4:02:00::', 'always%4:02:01::', 'perpetually%4:02:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['make_it%2:41:05::', 'pass%2:41:08::'], [], ['trammel%2:35:00::', 'catch_up_with%2:33:00::', 'overtake%2:33:00::', 'snare%2:35:00::', 'catch%2:33:10::', 'entrap%2:35:00::', 'trap%2:35:00::', 'ensnare%2:35:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]"
alors il décide de changer la règle du jeu	[[], [6480], [11694], [7074], [8053], [7029], [2815], [11712], [9810]]	"[[], [], ['decide%2:31:00::', ""make_up_one's_mind%2:31:00::"", 'choose%2:31:02::', 'determine%2:31:00::', 'pick_out%2:31:00::', 'choose%2:31:00::', 'select%2:31:00::', 'prefer%2:31:00::', 'opt%2:31:00::', 'take%2:31:01::'], [], ['change%2:40:00::', 'interchange%2:40:00::', 'exchange%2:40:00::'], [], ['ruler%1:06:00::', 'rule%1:06:00::'], [], ['board_game%1:04:00::']]"
pour gagner je ne dois plus te toucher avec les mains mais avec une pantoufle	[[7194], [7218], [2617], [], [15523], [6526], [2608], [3293], [7064], [7031], [9830], [11377], [7064], [8474], [8310]]	[[], ['win%2:33:00::', 'present%2:40:02::', 'award%2:40:00::'], [], [], ['obligation%1:04:00::', 'responsibility%1:04:00::', 'duty%1:04:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], ['adjoin%2:35:03::', 'contact%2:35:03::', 'touch%2:39:00::', 'meet%2:35:00::', 'touch%2:35:04::', 'touch%2:35:00::', 'touch%2:35:01::'], [], [], ['paw%1:08:01::', 'manus%1:08:00::', 'mitt%1:08:00::', 'hand%1:08:00::'], [], [], [], ['patty%1:13:02::']]
non non non tu dis cela parce que je cours plus vite que toi petit tricheur	[[5525], [5525], [5525], [2608], [5973], [6906], [], [10276], [2617], [2719], [3220], [5306], [10276], [2608], [6060], [4690]]	[['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], ['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], ['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], [], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], [], [], [], [], ['run%2:38:05::', 'run%2:38:00::'], ['sign%1:10:04::', 'plus_sign%1:10:00::'], ['apace%4:02:00::', 'chop-chop%4:02:00::', 'fleet%5:00:00:fast:01', 'quick%4:02:00::', 'fast%3:00:01::', 'rapidly%4:02:00::', 'swift%5:00:00:fast:01', 'agile%5:00:00:active:01', 'speedily%4:02:00::', 'quick%5:00:00:active:01', 'quickly%4:02:02::', 'promptly%4:02:02::', 'spry%5:00:00:active:01', 'nimble%5:00:00:active:01', 'quick%5:00:00:fast:01', 'quickly%4:02:00::', 'speedy%5:00:03:fast:01', 'in_short_order%4:02:00::'], [], [], ['infant%1:18:00::', 'baby%1:18:00::', 'babe%1:18:00::'], ['bad%3:00:00::', 'wicked%3:00:00::']]
on continue comme avant	[[7183], [17050], [12313], [13028]]	[[], ['go_on%2:42:00::', 'keep%2:42:07::', 'go_along%2:42:00::', 'proceed%2:42:00::', 'continue%2:42:01::', 'last%2:42:00::', 'endure%2:42:06::'], [], ['before%4:02:03::', 'earlier%4:02:00::']]
abel qui ne l'a pas écoutée lance une des pantoufles de maman dans sa direction	[[2485], [], [], [8476], [7271], [6526], [2381], [5447], [8474], [36781], [8310], [7074], [2458], [7034], [12272], [7078]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['take_heed%2:39:00::', 'hear%2:39:05::', 'listen%2:39:01::', 'hear%2:39:00::'], ['throw%2:35:07::', 'drop%2:35:01::', 'throw_off%2:35:00::', 'thrust%2:35:08::', 'throw_away%2:35:00::', 'shake_off%2:35:00::', 'cast_off%2:35:00::', 'shed%2:35:01::', 'throw%2:35:02::', 'cast%2:35:01::'], [], [], ['patty%1:13:02::'], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], [], [], ['signpost%1:10:00::', 'direction%1:15:00::', 'way%1:15:00::', 'guidepost%1:10:00::']]
catastrophe abel n'a pas beaucoup réfléchi	[[25052], [2485], [], [7271], [6526], [5521], [8661]]	[['disaster%1:11:00::', 'catastrophe%1:11:00::', 'calamity%1:11:00::', 'tragedy%1:11:00::', 'cataclysm%1:11:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::']]
il a mal lancé la pantoufle	[[6480], [7271], [5504], [6542], [7029], [8310]]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['bad%3:00:00::'], ['throw%2:35:07::', 'throw%2:35:00::', 'drop%2:35:01::', 'throw_off%2:35:00::', 'throw_away%2:35:00::', 'shake_off%2:35:00::', 'cast_off%2:35:00::', 'shed%2:35:01::', 'cast%2:35:01::'], [], ['patty%1:13:02::']]
celle ci est tombée sur le joli pot qui se trouve sur la table du salon	[[], [], [5465], [2675], [5451], [8476], [4660], [3271], [], [], [5465], [5451], [7029], [3129], [11712], [6211]]	[[], [], ['be%2:42:05::'], ['fall%2:38:03::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['well-favored%5:00:00:beautiful:00', 'good-looking%5:00:00:beautiful:00', 'fine-looking%5:00:00:beautiful:00', 'beautiful%3:00:00::', 'better-looking%5:00:00:beautiful:00', 'well-favoured%5:00:00:beautiful:00', 'handsome%5:00:00:beautiful:00'], ['vase%1:06:00::'], [], [], ['be%2:42:05::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], [], ['parlor%1:06:01::', 'living_room%1:06:00::', 'living-room%1:06:00::', 'parlour%1:06:01::', 'sitting_room%1:06:00::', 'front_room%1:06:00::']]
bellina pousse un petit cri tandis que abel se rend immédiatement compte de la bêtise qu'il vient de faire	[[2484], [6190], [2627], [4716], [7187], [], [], [2485], [], [], [], [2474], [], [7029], [15483], [10276], [6480], [11708], [7074], [6190]]	[['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['diminutive%5:00:00:small:00', 'little%3:00:01::', 'littler%5:00:00:small:00', 'bantam%5:00:00:small:00', 'midget%5:00:00:small:00', 'lilliputian%5:00:00:small:00', 'small%3:00:00::', 'petite%5:00:00:small:00', 'smaller%5:00:00:small:00', 'tiny%5:00:00:small:00', 'flyspeck%5:00:00:small:00'], ['note%1:10:02::', 'note%1:10:00::', 'annotation%1:10:00::', 'notation%1:10:01::'], [], [], ['boy%1:18:00::', 'male_child%1:18:00::'], [], [], [], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], [], [], ['betise%1:04:00::', 'bunk%1:10:01::', 'hokum%1:10:00::', 'nonsensicality%1:10:00::', 'nonsense%1:10:00::', 'madness%1:09:00::', 'stupidity%1:04:00::', 'craziness%1:09:00::', 'folly%1:04:01::', 'folly%1:09:00::', 'foolishness%1:09:00::', 'meaninglessness%1:10:00::', 'imbecility%1:04:00::', 'foolishness%1:04:01::'], [], [], ['get%2:38:00::', 'come%2:38:00::', 'arrive%2:38:00::', 'come_up%2:38:02::', 'come%2:38:04::'], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::']]
trop tard 	[[25708], []]	[['real%4:02:01::', 'rattling%4:02:00::', 'very%4:02:00::', 'really%4:02:00::'], []]
le pot est cassé	[[8476], [3271], [5465], [4736]]	[[], ['vase%1:06:00::'], ['be%2:42:05::'], ['broken%3:00:01::']]
tu as cassé le pot préféré de maman abel	[[2608], [7271], [3369], [8476], [3271], [], [7074], [2458], [2485]]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::'], [], ['vase%1:06:00::'], [], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
elle va te gronder	[[2458], [2432], [2608], [10175]]	[['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['jaw%2:32:01::', 'bawl_out%2:32:00::', 'call_down%2:32:00::', 'have_words%2:32:00::', 'brush_down%2:32:00::', 'lambast%2:32:00::', 'chide%2:32:00::', 'chew_out%2:32:00::', 'call_on_the_carpet%2:32:00::', 'trounce%2:32:00::', 'remonstrate%2:32:04::', 'reprimand%2:32:01::', 'berate%2:32:00::', 'take_to_task%2:32:00::', 'tell_off%2:32:00::', 'rebuke%2:32:00::', 'lecture%2:32:00::', 'rag%2:32:00::', 'dress_down%2:32:00::', 'chew_up%2:32:00::', 'lambaste%2:32:00::', 'scold%2:32:00::']]
et si on le recollait sans qu'elle le voie propose abel tout paniqué	[[11399], [], [7183], [], [], [7813], [10276], [2458], [8476], [2474], [11576], [2485], [5596], [11312]]	[[], [], [], [], [], [], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], [], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['suggestion%1:09:00::', 'advise%2:32:02::', 'suggest%2:32:00::', 'propose%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], ['heebie-jeebies%1:26:00::', 'queasy%5:00:00:troubled:00', 'uneasy%5:00:00:troubled:00', 'unquiet%5:00:00:troubled:00', 'nervousness%1:26:00::', 'nerves%1:26:00::', 'screaming_meemies%1:26:00::', 'nervous%5:00:00:troubled:00', 'jitters%1:26:00::', 'anxious%5:00:00:troubled:00']]
ou alors cachons le vite pour ne pas qu'elle s'en rende compte	[[11317], [], [4642], [8476], [5306], [7194], [], [6526], [10276], [2458], [], [], [11697], []]	[[], [], ['go_away%2:30:00::', 'hide_out%2:39:00::', 'vanish%2:30:00::', 'hide%2:39:01::', 'disappear%2:30:00::'], [], ['apace%4:02:00::', 'chop-chop%4:02:00::', 'fleet%5:00:00:fast:01', 'quick%4:02:00::', 'fast%3:00:01::', 'rapidly%4:02:00::', 'swift%5:00:00:fast:01', 'agile%5:00:00:active:01', 'speedily%4:02:00::', 'quick%5:00:00:active:01', 'quickly%4:02:02::', 'promptly%4:02:02::', 'spry%5:00:00:active:01', 'nimble%5:00:00:active:01', 'quick%5:00:00:fast:01', 'quickly%4:02:00::', 'speedy%5:00:03:fast:01', 'in_short_order%4:02:00::'], [], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], [], [], ['intelligible%5:00:00:comprehensible:00', 'graspable%5:00:00:comprehensible:00', 'interpret%2:31:02::', 'apprehensible%5:00:00:comprehensible:00', 'perceivable%5:00:00:comprehensible:00', 'translate%2:31:00::', 'understandable%5:00:00:comprehensible:00', 'read%2:31:04::', 'understand%2:31:03::'], []]
